frame,knee_valgus_L,knee_valgus_R,head_forward_angle,squat_depth_knee_deg,sagittal_flexion_trunk,hip_angle_L,hip_angle_R,hip_flexion_L,hip_flexion_R,knee_flexion_L,knee_flexion_R,ankle_dorsiflexion_proxy_L,ankle_dorsiflexion_proxy_R,lumbar_curvature_proxy
15,2.452850341796875,-30.0885009765625,-1.239449143409729,47.23595520329266,27.10125732421875,115.28680551641055,126.92482956345717,297.1078335260927,-57.690780975860406,46.48407247342962,47.9878379331557,-348.20001220703125,8.9488525390625,27.10125732421875
16,1.550018310546875,-33.98876953125,-1.0292692184448242,52.00864881935694,28.747493743896484,110.67417916214295,122.97970433668735,292.3744694208681,-62.40456805471783,50.801022959967696,53.21627467874619,-346.94781494140625,10.367172241210938,28.747493743896484
17,0.242034912109375,-37.97705078125,-0.7303197383880615,56.91583688109932,30.160480499267578,106.15520972766286,119.19314251782374,287.7544971918642,-66.99199328665142,55.428399067693775,58.40327469450486,-345.517333984375,11.757843017578125,30.160480499267578
18,-1.178985595703125,-42.20068359375,-0.32949644327163696,62.000523445088255,31.396442413330078,101.67573636914703,115.54133754191248,283.1493336176454,-71.56395373587017,60.35584476966295,63.64520212051356,-343.96693420410156,13.123886108398438,31.396442413330078
19,-2.8829345703125,-46.301544189453125,-0.06282919645309448,66.78651516975879,32.352783203125,97.59312733062247,112.29514823905932,279.0027615046083,-75.73442111257916,65.06006215343257,68.51296818608499,-342.47630310058594,14.38836669921875,32.352783203125
20,-5.212158203125,-50.533355712890625,0.24871544539928436,71.61364787304333,33.292354583740234,93.4915995545001,108.97951741584662,274.79265179391496,-80.13743243460064,69.86872744569195,73.35856830039474,-340.98553466796875,15.552825927734375,33.292354583740234
21,-8.253448486328125,-54.85125732421875,0.5728899240493774,76.21625335868384,34.010860443115234,89.71017969697323,106.00850910350673,270.93703045602433,-84.20740924124127,74.49361526181518,77.9388914555525,-339.57847595214844,16.606033325195312,34.010860443115234
22,-11.4658203125,-59.30596923828125,0.7347053289413452,80.5424273765261,34.50008773803711,86.36380036099627,103.4421259888139,267.5248142695009,-87.9329799199522,78.8459513746932,82.23890337835901,-338.2428894042969,17.523651123046875,34.50008773803711
23,-15.25970458984375,-63.71881103515625,0.8817082643508911,84.50848902701696,34.89360427856445,83.35843868882017,101.20478899734752,264.46249737496964,-91.38485369924908,82.88300021059446,86.13397784343945,-336.99737548828125,18.242431640625,34.89360427856445
24,-19.50299072265625,-67.98114013671875,1.0896708965301514,88.12309774313945,35.24784469604492,80.52569860882276,99.31298533559377,261.5709339594423,-94.5608104253233,86.67797104861283,89.56822443766606,-335.88377380371094,18.740402221679688,35.24784469604492
