frame,knee_valgus_L,knee_valgus_R,head_forward_angle,squat_depth_knee_deg,sagittal_flexion_trunk,hip_angle_L,hip_angle_R,hip_flexion_L,hip_flexion_R,knee_flexion_L,knee_flexion_R,ankle_dorsiflexion_proxy_L,ankle_dorsiflexion_proxy_R,lumbar_curvature_proxy
10,5.86279296875,-10.289215087890625,15.845590591430664,21.764785308901466,3.0182511806488037,161.1345757978098,132.8128963461594,-4.01023990949659,-15.906266520824715,7.956406879066975,35.57316373873596,-349.87925720214844,4.2528076171875,3.0182511806488037
11,6.454315185546875,-11.623870849609375,15.481961250305176,21.20112526515385,2.75304913520813,160.51409359341324,133.12948877639013,-2.9112365945246665,-15.334774802532479,7.957862397210192,34.444388133097505,-348.3316345214844,2.91455078125,2.75304913520813
12,7.3985595703125,-12.573211669921875,15.067743301391602,20.669328261866752,2.4641261100769043,159.74525760195291,134.2649091329377,-1.8798056348231285,-14.102965424862191,8.249002285480202,33.0896542382533,-346.61473083496094,1.9606475830078125,2.4641261100769043
13,7.558624267578125,-14.7890625,14.670949935913086,19.075050910965174,2.425287961959839,158.53672914360908,135.1292420559775,-1.185449908581063,-13.188822100963876,7.787597651269181,30.36250417066117,-344.32733154296875,-1.0503692626953125,2.425287961959839
14,7.823272705078125,-16.85687255859375,14.243327140808105,18.63471698087396,2.2984540462493896,157.1899976478292,135.46893815746284,-0.6386178239253013,-12.633185695019051,7.744355238750813,29.525078722997108,-342.19227600097656,-2.6799163818359375,2.2984540462493896
15,7.6748046875,-19.23492431640625,13.901691436767578,18.76790630296793,2.0770180225372314,155.64739202899693,135.48446000260748,-0.3485935433772056,-12.253195594158456,7.765564066664439,29.77024853927142,-339.93360900878906,-3.7271728515625,2.0770180225372314
16,9.05712890625,-22.28765869140625,13.451566696166992,20.85989983990794,2.0497615337371826,153.666787514507,135.40235035127859,-0.4901145203974693,-12.106783221569344,10.337593224260075,31.382206455555803,-336.53973388671875,-3.853363037109375,2.0497615337371826
17,8.73382568359375,-25.4937744140625,12.817405700683594,22.809371773067397,2.1032893657684326,152.5432881106817,135.31730009354425,-0.4150870545771568,-12.118974994030282,11.621593099662107,33.99715044647269,-333.7939758300781,-3.0901641845703125,2.1032893657684326
18,7.95404052734375,-29.34710693359375,12.084128379821777,26.322561455585003,2.342785596847534,151.88574895365196,134.49743784610214,-0.9160731538203208,-12.945827792492196,13.839796365304949,38.80532654586506,-330.4695739746094,-0.5457916259765625,2.342785596847534
19,7.0489501953125,-32.56329345703125,11.249967575073242,30.742261884596658,2.5875189304351807,151.63830791424695,133.9525742765054,-2.0611360772517173,-13.617837737407967,17.472248304127845,44.01227546506547,-326.7663269042969,3.310943603515625,2.5875189304351807
20,5.89288330078125,-34.1690673828125,10.638404846191406,35.095301583018696,2.6196212768554688,151.6990510043409,134.4483781081585,-3.4998546346095054,-13.337256978359505,22.048565439628305,48.142037726409086,-322.96258544921875,7.8234710693359375,2.6196212768554688
21,4.950775146484375,-35.04486083984375,10.084836959838867,39.360454041886925,2.586879014968872,151.64029936692367,135.33700206376392,-5.270960639324471,-12.706797431316659,27.399031442719263,51.32187664105459,-319.0914001464844,12.059356689453125,2.586879014968872
22,4.255615234375,-35.626495361328125,9.508332252502441,43.37284539874345,2.58604097366333,151.41709811375415,135.54848228938872,-7.453136514034554,-12.651439736690804,33.11394824141189,53.63174255607501,-315.39122009277344,-345.0724182128906,2.58604097366333
23,3.5107269287109375,-35.3482666015625,9.028131484985352,47.08666190380271,2.717885971069336,151.01749736147704,135.1996243195631,349.8161873118016,-13.167531560268685,38.88993467747636,55.28338913012905,-312.1036682128906,-342.88816833496094,2.717885971069336
24,2.421112060546875,-34.1998291015625,8.707815170288086,50.523208327497244,2.9402015209198,150.62811548586632,134.67328853992282,346.74777190843554,-13.906357119884774,44.25573284614106,56.79068380885343,-309.49937438964844,-340.5098876953125,2.9402015209198
